State,County,Percent Adult Smokers,Percent Uninsured
Alabama,Autauga,19,13
Alabama,Baldwin,19,17
Alabama,Barbour,21,17
Alabama,Bibb,21,15
Alabama,Blount,19,18
Alabama,Bullock,22,19
Alabama,Butler,23,16
Alabama,Calhoun,24,16
Alabama,Chambers,21,17
Alabama,Cherokee,20,16
Alabama,Chilton,21,19
Alabama,Choctaw,19,16
Alabama,Clarke,21,16
Alabama,Clay,20,19
Alabama,Cleburne,19,17
Alabama,Coffee,19,17
Alabama,Colbert,19,14
Alabama,Conecuh,24,18
Alabama,Coosa,22,17
Alabama,Covington,20,17
Alabama,Crenshaw,20,17
Alabama,Cullman,20,19
Alabama,Dale,20,15
Alabama,Dallas,25,14
Alabama,DeKalb,19,23
Alabama,Elmore,19,12
Alabama,Escambia,23,19
Alabama,Etowah,22,16
Alabama,Fayette,21,15
Alabama,Franklin,20,20
Alabama,Geneva,22,19
Alabama,Greene,27,17
Alabama,Hale,22,16
Alabama,Henry,18,17
Alabama,Houston,19,16
Alabama,Jackson,20,18
Alabama,Jefferson,17,15
Alabama,Lamar,21,16
Alabama,Lauderdale,19,15
Alabama,Lawrence,20,18
Alabama,Lee,20,16
Alabama,Limestone,19,16
Alabama,Lowndes,23,15
Alabama,Macon,24,16
Alabama,Madison,20,14
Alabama,Marengo,22,15
Alabama,Marion,20,16
Alabama,Marshall,20,22
Alabama,Mobile,21,17
Alabama,Monroe,22,18
Alabama,Montgomery,20,15
Alabama,Morgan,19,17
Alabama,Perry,25,15
Alabama,Pickens,22,17
Alabama,Pike,22,17
Alabama,Randolph,20,19
Alabama,Russell,21,17
Alabama,St. Clair,20,14
Alabama,Shelby,16,12
Alabama,Sumter,24,17
Alabama,Talladega,22,15
Alabama,Tallapoosa,21,16
Alabama,Tuscaloosa,20,15
Alabama,Walker,22,16
Alabama,Washington,20,16
Alabama,Wilcox,25,17
Alabama,Winston,22,17
Alaska,Aleutians East,20,40
Alaska,Aleutians West,18,28
Alaska,Anchorage,16,18
Alaska,Bethel,34,28
Alaska,Bristol Bay,21,23
Alaska,Denali,18,22
Alaska,Dillingham,32,27
Alaska,Fairbanks North Star,16,19
Alaska,Haines,18,30
Alaska,Juneau,17,17
Alaska,Kenai Peninsula,20,23
Alaska,Ketchikan Gateway,20,23
Alaska,Kodiak Island,17,27
Alaska,Lake and Peninsula,31,31
Alaska,Matanuska-Susitna,21,21
Alaska,Nome,35,29
Alaska,North Slope,25,26
Alaska,Northwest Arctic,35,30
Alaska,Prince of Wales-Outer Ketchikan,25,31
Alaska,Sitka,18,25
Alaska,Skagway-Hoonah-Angoon,21,29
Alaska,Southeast Fairbanks,20,27
Alaska,Valdez-Cordova,19,23
Alaska,Wade Hampton,41,29
Alaska,Wrangell-Petersburg,19,24
Alaska,Yakutat,21,35
Alaska,Yukon-Koyukuk,32,33
Arizona,Apache,26,24
Arizona,Cochise,16,18
Arizona,Coconino,20,21
Arizona,Gila,18,20
Arizona,Graham,18,18
Arizona,Greenlee,17,12
Arizona,La Paz,16,27
Arizona,Maricopa,15,20
Arizona,Mohave,20,22
Arizona,Navajo,23,22
Arizona,Pima,15,19
Arizona,Pinal,17,20
Arizona,Santa Cruz,15,24
Arizona,Yavapai,15,22
Arizona,Yuma,15,24
Arkansas,Arkansas,22,18
Arkansas,Ashley,24,17
Arkansas,Baxter,20,19
Arkansas,Benton,19,18
Arkansas,Boone,22,18
Arkansas,Bradley,25,24
Arkansas,Calhoun,22,19
Arkansas,Carroll,20,26
Arkansas,Chicot,27,20
Arkansas,Clark,23,18
