State,County,Household Income,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,
Alabama,Autauga,54366,50255,58477,55395,25.2,13.8,
Alabama,Baldwin,49626,45920,53332,200111,22.2,18.7,
Alabama,Barbour,34971,31997,37945,26887,21.2,16.5,
Alabama,Bibb,39546,35731,43361,22506,21.0,14.8,
Alabama,Blount,45567,41180,49954,57719,23.6,17.0,
Alabama,Bullock,26580,23172,29988,10764,21.4,14.9,
Alabama,Butler,32512,28887,36137,20296,23.6,18.0,
Alabama,Calhoun,41123,38748,43498,115916,22.2,16.0,
Alabama,Chambers,34116,30578,37654,34076,21.4,18.3,
Alabama,Cherokee,38013,33968,42058,26037,20.4,20.9,
Alabama,Chilton,41450,37133,45767,43931,24.2,15.2,
Alabama,Choctaw,35049,30887,39211,13323,20.6,20.8,
Alabama,Clarke,36620,32360,40880,24945,22.6,18.0,
Alabama,Clay,35940,31795,40085,13552,21.6,19.4,
Alabama,Cleburne,40418,35407,45429,15080,23.3,18.4,
Alabama,Coffee,46931,44060,49802,50909,23.7,15.9,
Alabama,Colbert,43057,40099,46015,54543,21.7,18.5,
Alabama,Conecuh,29101,25442,32760,12670,21.4,20.4,
Alabama,Coosa,34679,30514,38844,10886,18.3,18.5,
Alabama,Covington,36149,32975,39323,37914,22.1,19.8,
Alabama,Crenshaw,34445,30262,38628,13977,22.7,18.0,
Alabama,Cullman,39922,36146,43698,81289,22.5,17.6,
Alabama,Dale,41940,38584,45296,49484,23.6,15.4,
Alabama,Dallas,26602,23878,29326,41711,25.2,15.6,
Alabama,DeKalb,36241,32061,40421,71065,24.7,15.7,
Alabama,Elmore,54298,49471,59125,80977,23.0,14.0,
Alabama,Escambia,37077,33065,41089,37733,22.0,16.7,
Alabama,Etowah,39904,37222,42586,103531,22.1,17.3,
Alabama,Fayette,35664,31761,39567,16874,21.7,19.6,
Alabama,Franklin,33881,30117,37645,31601,24.3,15.9,
Alabama,Geneva,34425,30392,38458,26712,22.2,19.2,
Alabama,Greene,26504,23146,29862,8553,23.3,17.9,
Alabama,Hale,33315,29181,37449,15184,23.3,17.3,
Alabama,Henry,39930,35163,44697,17190,21.2,20.8,
Alabama,Houston,40124,37630,42618,104193,23.7,16.1,
