,State,County,County Population,Household Income,Cancer,Percent Adult Smokers,Percent Uninsured,Lung Cancer Case Count,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
0,Alabama,Baldwin,200111.0,49626.0,Lung and Bronchus,19.0,17.0,994.0,247,32,0,0,0,0,87,0,0,221,0,58,0
1,Alabama,Clay,13552.0,35940.0,Lung and Bronchus,20.0,19.0,83.0,109,7,0,0,0,0,56,0,0,0,0,116,0
2,Alabama,Colbert,54543.0,43057.0,Lung and Bronchus,19.0,14.0,252.0,258,23,1,0,0,0,115,0,0,219,0,63,0
3,Alabama,DeKalb,71065.0,36241.0,Lung and Bronchus,19.0,23.0,272.0,304,43,1,0,0,0,119,0,0,321,0,27,0
4,Alabama,Elmore,80977.0,54298.0,Lung and Bronchus,19.0,12.0,321.0,107,10,0,0,0,0,77,0,0,117,0,0,0
5,Alabama,Etowah,103531.0,39904.0,Lung and Bronchus,22.0,16.0,524.0,162,184,3,3,0,0,179,0,0,104,0,248,0
6,Alabama,Houston,104193.0,40124.0,Lung and Bronchus,19.0,16.0,426.0,265,15,0,0,0,0,97,0,0,221,0,59,0
7,Alabama,Jefferson,660793.0,44852.0,Lung and Bronchus,17.0,15.0,2384.0,191,166,8,1,0,0,151,0,16,147,1,199,3
8,Alabama,Lawrence,33477.0,41574.0,Lung and Bronchus,20.0,18.0,170.0,116,1,1,0,0,0,105,0,0,0,0,118,0
9,Alabama,Madison,350299.0,58833.0,Lung and Bronchus,20.0,14.0,1198.0,284,52,1,0,0,0,122,0,0,235,0,45,57
10,Alabama,Mobile,415123.0,42943.0,Lung and Bronchus,21.0,17.0,1647.0,277,87,2,0,0,0,139,0,0,138,9,219,0
11,Alabama,Montgomery,226189.0,43054.0,Lung and Bronchus,20.0,15.0,678.0,285,76,1,1,0,0,170,0,0,175,0,188,0
12,Alabama,Morgan,119607.0,45082.0,Lung and Bronchus,19.0,17.0,554.0,304,59,2,0,0,0,107,0,0,214,0,151,0
13,Alabama,Russell,59608.0,35585.0,Lung and Bronchus,21.0,17.0,247.0,192,65,0,0,0,0,100,0,0,176,0,81,0
14,Alabama,Shelby,206655.0,69432.0,Lung and Bronchus,16.0,12.0,526.0,205,35,4,0,0,0,133,0,0,244,0,0,0
15,Alabama,Sumter,13166.0,25413.0,Lung and Bronchus,24.0,17.0,49.0,315,21,0,0,0,0,70,0,0,185,0,151,0
16,Alabama,Talladega,81322.0,39999.0,Lung and Bronchus,22.0,15.0,377.0,99,18,0,0,0,0,79,0,0,0,0,117,0
17,Alabama,Tuscaloosa,202212.0,46892.0,Lung and Bronchus,20.0,15.0,626.0,224,141,0,0,0,0,100,0,0,93,0,272,0
18,Arizona,Apache,71828.0,32366.0,Lung and Bronchus,26.0,24.0,80.0,364,2,0,0,0,0,54,0,0,0,0,33,333
19,Arizona,Cochise,127448.0,45025.0,Lung and Bronchus,16.0,18.0,473.0,281,83,2,0,0,0,141,0,0,323,0,3,40
20,Arizona,Coconino,137682.0,48653.0,Lung and Bronchus,20.0,21.0,179.0,301,65,0,0,0,0,97,0,0,363,0,3,0
21,Arizona,Gila,53119.0,37677.0,Lung and Bronchus,18.0,20.0,214.0,84,136,119,27,0,0,200,0,0,82,263,0,21
22,Arizona,La Paz,20231.0,32533.0,Lung and Bronchus,16.0,27.0,131.0,294,70,1,0,0,0,101,0,1,291,3,34,36
