,State,Household Income,Total State Population,Percent Uninsured,Percent Adult Smokers,Asthma Sample Size,Asthma Prevalence (percent),Asthma Prevalence Number,COPD State Population,COPD Medicare Hospitalizations,COPD Medicare Hospitalizations (percent per 1000),COPD Deaths,"COPD Death Rate (percent per 100,000)",Lung & Bronchus Cancer Case Count,Total Surveyed for Lung Cancer per State,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Days Ozone,Days PM2.5,Days PM10
0,Alabama,38562.985074626864,4863300.0,16.055555555555557,19.833333333333332,7015.0,14.9,563908.0,393000.0,7691.0,14.3,3217.0,55.2,295.43283582089555,11328.0,219.11111111111111,57.5,1.3333333333333333,0.2777777777777778,0.0,0.0,111.44444444444444,156.11111111111111,117.33333333333333,3.3333333333333335
1,Arizona,43057.53333333333,6931071.0,21.76923076923077,17.76923076923077,10903.0,14.6,771201.0,325000.0,4711.0,8.3,3570.0,42.4,1306.6666666666667,19491.0,237.30769230769232,106.53846153846153,16.923076923076923,2.6153846153846154,0.15384615384615385,0.15384615384615385,234.69230769230768,192.84615384615384,36.76923076923077,111.0
2,Arkansas,37577.94666666666,2988248.0,19.181818181818183,23.09090909090909,5279.0,14.3,327559.0,219000.0,4806.0,13.3,2234.0,61.3,191.01333333333332,3845.0,242.0,32.36363636363637,0.18181818181818182,0.18181818181818182,0.0,0.0,91.45454545454545,165.54545454545453,84.45454545454545,0.0
3,California,56049.46551724138,39250017.0,18.358490566037737,13.226415094339623,11370.0,12.8,3895034.0,1207000.0,20289.0,7.9,13092.0,31.8,1501.8035714285713,83768.0,214.4814814814815,108.74074074074075,22.962962962962962,4.62962962962963,0.4074074074074074,0.5925925925925926,270.55555555555554,221.27777777777777,109.98148148148148,16.14814814814815
4,Colorado,52401.90625,5540545.0,17.928571428571427,14.714285714285714,14908.0,13.7,589829.0,179000.0,2376.0,6.4,2514.0,46.6,244.40425531914894,10742.0,227.40625,58.0,2.5,0.1875,0.03125,0.0,103.65625,195.3125,24.6875,58.90625
5,Connecticut,70415.375,3576452.0,10.0,13.75,11000.0,15.6,441072.0,143000.0,3798.0,9.7,1309.0,28.4,1677.75,13422.0,245.125,60.5,8.5,2.0,0.0,0.0,164.625,220.0,84.625,0.0
6,Florida,44085.432835820895,20612439.0,22.358974358974358,17.102564102564102,36846.0,11.0,1824452.0,1117000.0,32274.0,15.9,11461.0,37.4,1258.1492537313434,75500.0,313.4102564102564,43.15384615384615,0.4358974358974359,0.07692307692307693,0.0,0.0,95.58974358974359,242.15384615384616,97.53846153846153,11.384615384615385
7,Georgia,41210.446540880504,10310371.0,20.96875,17.1875,5361.0,13.4,1046849.0,532000.0,9.425,11.9,4501.0,45.7,214.4774193548387,17631.0,224.78125,58.34375,2.96875,0.46875,0.0,0.0,129.75,128.8125,152.1875,0.0
8,Hawaii,62417.75,1428557.0,9.0,14.25,8069.0,17.3,195278.0,48000.0,663.0,6.2,303.0,15.8,1018.5,4074.0,264.5,21.5,32.25,45.25,0.25,0.25,145.25,70.5,184.25,5.25
9,Idaho,45771.84090909091,1683140.0,19.88888888888889,16.61111111111111,5251.0,12.6,157454.0,59000.0,942.0,6.3,817.0,44.8,131.94117647058823,3707.0,279.0,41.523809523809526,3.1904761904761907,0.2857142857142857,0.0,0.0,104.80952380952381,31.38095238095238,264.6666666666667,6.0
10,Illinois,50952.5,12801539.0,11.68,15.48,4757.0,14.2,1404283.0,568000.0,14964.0,11.4,5360.0,36.8,462.05882352941177,34807.0,270.6666666666667,48.74074074074074,3.037037037037037,0.07407407407407407,0.0,0.0,109.5925925925926,199.14814814814815,68.18518518518519,0.5925925925925926
11,Indiana,49449.34782608696,6633053.0,15.30952380952381,19.857142857142858,11048.0,14.4,732560.0,400000.0,9048.0,13.1,4096.0,53.7,301.20652173913044,20589.0,230.95238095238096,49.69047619047619,2.6666666666666665,0.047619047619047616,0.023809523809523808,0.0,110.57142857142857,125.42857142857143,109.80952380952381,0.8571428571428571
12,Iowa,51707.35353535353,3134693.0,9.631578947368421,17.36842105263158,7244.0,12.1,292395.0,136000.0,3407.0,8.3,1949.0,47.5,124.15306122448979,6172.0,233.31578947368422,60.8421052631579,0.5263157894736842,0.10526315789473684,0.0,0.0,97.94736842105263,88.47368421052632,164.73684210526315,26.68421052631579
